mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.179044771194458,0.06943561174049132,0.016864919662475587,0.004617983789275523,gini,6,sqrt,1,2,20,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}",0.6193548387096774,0.7154471544715447,0.706766917293233,0.7317073170731707,0.7863247863247863,0.7119202027744824,0.05391644333510522,616
0.3273637771606445,0.022315749477669216,0.02461996078491211,0.0008131967754583789,gini,6,sqrt,1,2,50,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.64,0.7086614173228346,0.71875,0.7272727272727273,0.7796610169491526,0.714869032308943,0.044745550203979155,612
0.6542296886444092,0.049592489879415294,0.045067644119262694,0.0025995537559496025,gini,6,sqrt,1,2,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7258064516129032,0.7796610169491526,0.7086614173228346,0.7586206896551724,0.7666666666666667,0.7478832484413459,0.026471392142752143,565
0.9445683002471924,0.03350311675604786,0.06250081062316895,0.003138097405831345,gini,6,sqrt,1,2,150,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.7377049180327869,0.7652173913043478,0.7142857142857143,0.7586206896551724,0.7627118644067796,0.7477081155369601,0.01932817817405092,566
1.2210948467254639,0.0038142591433462498,0.07864246368408204,0.0012542948034163298,gini,6,sqrt,1,2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.743801652892562,0.7863247863247863,0.72,0.7543859649122807,0.7758620689655172,0.7560748946190293,0.02350094119235672,553
0.12858943939208983,0.0013276255752405826,0.013769197463989257,0.0004949705539155066,gini,6,sqrt,1,5,20,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20}",0.6482758620689655,0.736,0.6521739130434783,0.773109243697479,0.7719298245614035,0.7162977686742652,0.055586861568060864,611
0.31434922218322753,0.004032050280619094,0.02407693862915039,0.0006423736691041668,gini,6,sqrt,1,5,50,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.6861313868613139,0.7377049180327869,0.703125,0.7333333333333333,0.7627118644067796,0.7246013005268427,0.0269871599457037,601
0.616688585281372,0.007277347504964677,0.04253950119018555,0.0008256221565233759,gini,6,sqrt,1,5,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7096774193548387,0.7479674796747967,0.6818181818181818,0.7154471544715447,0.7758620689655172,0.7261544608569758,0.03255303070228451,596
0.9276569843292236,0.0365619295858635,0.06082949638366699,0.0010146174689401278,gini,6,sqrt,1,5,150,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.7226890756302521,0.7317073170731707,0.6870229007633588,0.7394957983193278,0.7586206896551724,0.7279071562882564,0.023625451079607913,591
1.2184553146362305,0.003262444797479186,0.07899384498596192,0.0011542487279185697,gini,6,sqrt,1,5,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.743801652892562,0.7666666666666667,0.6976744186046512,0.7350427350427351,0.7692307692307693,0.7424832484874768,0.02594300771578797,572
