mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2971220016479492,0.02060659501737552,0.027490806579589844,0.0027737134806640196,4,2,50,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.5297297297297298,0.5025641025641026,0.4729064039408867,0.5287356321839081,0.6153846153846154,0.5298640967606485,0.04754896223261664,23
0.6585713863372803,0.11203306986643595,0.051637458801269534,0.012957564187273275,4,2,100,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.5748502994011976,0.5297297297297298,0.47715736040609136,0.5590062111801242,0.64,0.5561487201434285,0.05352858941346578,20
0.8469231605529786,0.006343917243371783,0.06375155448913575,0.001989491987585975,4,2,150,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 150}",0.588957055214724,0.5414364640883977,0.4742268041237113,0.5590062111801242,0.6442953020134228,0.561584367324076,0.05591831811087807,19
0.2871509552001953,0.00827975273887513,0.026345157623291017,0.001036608894108774,4,5,50,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.5414364640883977,0.5077720207253886,0.4752475247524752,0.5227272727272727,0.5949367088607594,0.5284239982308587,0.03969876353484426,24
0.5919487953186036,0.06298151015134251,0.04709477424621582,0.002000302292942593,4,5,100,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.5818181818181818,0.5240641711229946,0.48205128205128206,0.5357142857142857,0.6274509803921569,0.5502197802197802,0.05000917248717658,21
0.8895118713378907,0.05075570958374949,0.06423511505126953,0.0025666348498872105,4,5,150,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 150}",0.5662650602409639,0.5217391304347826,0.45454545454545453,0.5555555555555556,0.64,0.5476210401553513,0.06046050963889887,22
0.3520961761474609,0.005229783185064101,0.027467870712280275,0.0014962878294666236,6,2,50,"{'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 50}",0.64,0.7086614173228346,0.71875,0.7272727272727273,0.7796610169491526,0.714869032308943,0.044745550203979155,18
0.7043521881103516,0.009752589743970589,0.048037481307983396,0.0010352122009424185,6,2,100,"{'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 100}",0.7258064516129032,0.7796610169491526,0.7086614173228346,0.7586206896551724,0.7666666666666667,0.7478832484413459,0.026471392142752143,13
1.05851149559021,0.06832098334368197,0.06820516586303711,0.0006554355683253441,6,2,150,"{'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 150}",0.7377049180327869,0.7652173913043478,0.7142857142857143,0.7586206896551724,0.7627118644067796,0.7477081155369601,0.01932817817405092,14
0.34522247314453125,0.004273103445885744,0.02779994010925293,0.001968632995785655,6,5,50,"{'max_depth': 6, 'min_samples_split': 5, 'n_estimators': 50}",0.6861313868613139,0.7377049180327869,0.703125,0.7333333333333333,0.7627118644067796,0.7246013005268427,0.0269871599457037,17
0.6694630146026611,0.015718289962287,0.04620480537414551,0.0009272172904997675,6,5,100,"{'max_depth': 6, 'min_samples_split': 5, 'n_estimators': 100}",0.7096774193548387,0.7479674796747967,0.6818181818181818,0.7154471544715447,0.7758620689655172,0.7261544608569758,0.03255303070228451,16
1.0070066928863526,0.012771373543024302,0.06581325531005859,0.001744603462327552,6,5,150,"{'max_depth': 6, 'min_samples_split': 5, 'n_estimators': 150}",0.7226890756302521,0.7317073170731707,0.6870229007633588,0.7394957983193278,0.7586206896551724,0.7279071562882564,0.023625451079607913,15
0.38152103424072265,0.008017968408765725,0.027962684631347656,0.0009538338527752836,8,2,50,"{'max_depth': 8, 'min_samples_split': 2, 'n_estimators': 50}",0.7850467289719626,0.8301886792452831,0.8108108108108109,0.8514851485148515,0.8,0.8155062735085815,0.02323931249577442,6
