mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6272843360900879,0.030034945709862766,0.0439725399017334,0.0018640226719301891,gini,6,sqrt,1,2,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7258064516129032,0.7796610169491526,0.7086614173228346,0.7586206896551724,0.7666666666666667,0.7478832484413459,0.026471392142752143,347
0.9245419502258301,0.020708275363619875,0.06072535514831543,0.0019995204634745954,gini,6,sqrt,1,2,150,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.7377049180327869,0.7652173913043478,0.7142857142857143,0.7586206896551724,0.7627118644067796,0.7477081155369601,0.01932817817405092,348
1.2188132762908936,0.0062077719644134275,0.0794839859008789,0.0011397792819820582,gini,6,sqrt,1,2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.743801652892562,0.7863247863247863,0.72,0.7543859649122807,0.7758620689655172,0.7560748946190293,0.02350094119235672,337
0.6071888923645019,0.002514996112350239,0.04203577041625976,0.00037528303385884505,gini,6,sqrt,1,5,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7096774193548387,0.7479674796747967,0.6818181818181818,0.7154471544715447,0.7758620689655172,0.7261544608569758,0.03255303070228451,371
0.9065330505371094,0.005627694800690183,0.060265398025512694,0.0013396895433695844,gini,6,sqrt,1,5,150,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.7226890756302521,0.7317073170731707,0.6870229007633588,0.7394957983193278,0.7586206896551724,0.7279071562882564,0.023625451079607913,368
1.2147011756896973,0.00966024302066418,0.07855739593505859,0.0009809441541293663,gini,6,sqrt,1,5,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.743801652892562,0.7666666666666667,0.6976744186046512,0.7350427350427351,0.7692307692307693,0.7424832484874768,0.02594300771578797,354
0.610398530960083,0.0052397202538473275,0.04214444160461426,0.0006080509876277773,gini,6,sqrt,1,10,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.7244094488188977,0.7377049180327869,0.7131782945736435,0.6929133858267716,0.743801652892562,0.7224015400289323,0.01817035718742304,375
0.9074079990386963,0.004036234416208369,0.059825706481933597,0.0014101677685118622,gini,6,sqrt,1,10,150,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150}",0.704,0.7627118644067796,0.7022900763358778,0.704,0.7563025210084033,0.7258608923502121,0.027553829110139504,373
1.2216683864593505,0.010031859300025064,0.07846360206604004,0.0014348127184761511,gini,6,sqrt,1,10,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.7258064516129032,0.7627118644067796,0.7076923076923077,0.7213114754098361,0.75,0.7335044198243653,0.019996853378289242,363
0.6084863185882569,0.005123141848675913,0.04246234893798828,0.0007912662872032752,gini,6,sqrt,2,2,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7317073170731707,0.7627118644067796,0.6870229007633588,0.75,0.75,0.7362884164486618,0.026541632037962466,360
0.9103074550628663,0.007206505253799709,0.06123991012573242,0.0010095634488304403,gini,6,sqrt,2,2,150,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.7479674796747967,0.7540983606557377,0.7301587301587301,0.7627118644067796,0.7563025210084033,0.7502477911808896,0.01109603490677667,346
1.218736171722412,0.005449847766065187,0.07868838310241699,0.001856159905258013,gini,6,sqrt,2,2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7540983606557377,0.7666666666666667,0.72,0.7627118644067796,0.7627118644067796,0.7532377512271926,0.01711924160813814,341
0.6072543621063232,0.003929794742185447,0.04243721961975098,0.0007440837914093055,gini,6,sqrt,2,5,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.71875,0.7301587301587301,0.6923076923076923,0.7258064516129032,0.7627118644067796,0.725946947697221,0.022595634581184208,372
0.9143336296081543,0.013383867329166087,0.06129922866821289,0.0005361922764592281,gini,6,sqrt,2,5,150,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.72,0.7301587301587301,0.7076923076923077,0.7457627118644068,0.7563025210084033,0.7319832541447695,0.01742571400581362,364
1.2151402473449706,0.00897841292298608,0.07748379707336425,0.0011093355579944134,gini,6,sqrt,2,5,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7317073170731707,0.7540983606557377,0.6976744186046512,0.7394957983193278,0.7666666666666667,0.7379285122639108,0.023447376087743988,357
0.6075795650482178,0.0044614235928670835,0.04247879981994629,0.0014000774785409688,gini,6,sqrt,2,10,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6870229007633588,0.7479674796747967,0.7022900763358778,0.7096774193548387,0.7377049180327869,0.7169325588323319,0.022610989393436618,378
0.9047361850738526,0.008650733794188292,0.06004586219787598,0.0006651590812785007,gini,6,sqrt,2,10,150,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 150}",0.676923076923077,0.7419354838709677,0.7022900763358778,0.7096774193548387,0.7563025210084033,0.7174257154986329,0.028431398663763256,377
1.2094925403594972,0.006692830636827234,0.07916841506958008,0.0015324387108905757,gini,6,sqrt,2,10,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.7258064516129032,0.7603305785123967,0.7076923076923077,0.7317073170731707,0.7666666666666667,0.7384406643114889,0.02202860995615848,356
